person_id,nombre,rol,universidad,afiliacion
4,Sergio Muñoz Yáñez,Exdirector de la PDI,Universidad de Chile,Policía de Investigaciones
5,Ángela Vivanco,Exministra de la Corte Suprema,Pontificia Universidad Católica de Chile,Corte Suprema de Chile
6,Andrés Chadwick,Exministro del Interior,Pontificia Universidad Católica de Chile,Gobierno de Chile
7,Jean Pierre Matus,Ministro de la Corte Suprema,Universidad de Chile,Corte Suprema de Chile
8,Felipe Ward,Exministro,Universidad Finis Terrae,Gobierno de Chile
9,Manuel Guerra,Fiscal Metropolitano Oriente,Universidad de Chile,Ministerio Público
10,Andrés Chadwick,Político,Pontificia Universidad Católica,UDI
11,Exequiel Silva Ortiz,Exdiputado y lobista,Universidad de Chile,Partido Demócrata Cristiano
12,Jonathan Herzfeld,Empresario,Universidad Adolfo Ibáñez,Independiente
13,Eduardo Elberg,Empresario,Universidad de Chile,Independiente
14,Paola Luksic,Empresaria,Universidad Adolfo Ibáñez,Grupo Luksic
15,Gabriela Luksic,Empresaria,Universidad de Chile,Grupo Luksic
1,Luis Hermosilla,Abogado,Universidad de Chile,Independiente
2,Leonarda Villalobos,Abogada,Pontificia Universidad Católica de Chile,Partido Socialista
3,Daniel Sauer,Empresario,Universidad Adolfo Ibáñez,Factop
16,Andrés Chadwick,Exministro del Interior,Pontificia Universidad Católica de Chile,Independiente
17,Felipe Ward,Exministro de Bienes Nacionales,Universidad Católica del Norte,Unión Demócrata Independiente (UDI)
18,Ángela Vivanco,Exministra de la Corte Suprema,Pontificia Universidad Católica de Chile,
19,Jean Pierre Matus,Ministro de la Corte Suprema,Universidad de Chile,
20,Sergio Muñoz,Ministro de la Corte Suprema,Universidad de Chile,
21,Luis Angulo,Empresario,Universidad Adolfo Ibáñez,Commercia
22,Ariel Sauer,Empresario,Universidad de Chile,Factop
23,Juan Pablo Hermosilla,Abogado,Pontificia Universidad Católica de Chile,Independiente
